,ISO3,name,type,ucode
0,ATA,Antarctica,Antarctica,ATA_V1
1,AIA,Anguilla,Non-Self Governing Territory,AIA_V2
2,ASM,American Samoa (USA),Non-Self Governing Territory,ASM_V1
3,BMU,Bermuda,Non-Self Governing Territory,BMU_V2
4,CYM,Cayman Islands,Non-Self Governing Territory,CYM_V2
5,ESH,Western Sahara,Non-Self Governing Territory,ESH_V1
6,FLK,Falkland Islands (Malvinas),Non-Self Governing Territory,FLK_V1
7,GIB,Gibraltar,Non-Self Governing Territory,GIB_V1
8,GUM,Guam (USA),Non-Self Governing Territory,GUM_V1
9,MSR,Montserrat,Non-Self Governing Territory,MSR_V2
10,NCL,New Caledonia,Non-Self Governing Territory,NCL_V1
11,PCN,Pitcairn,Non-Self Governing Territory,PCN_V1
12,PYF,Clipperton Island,Non-Self Governing Territory,PYF1_V1
13,PYF,French Polynesia,Non-Self Governing Territory,PYF_V1
14,SHN,Saint Helena (Ascencion),Non-Self Governing Territory,SHN1_V1
15,SHN,Saint Helena (Tristan da Cunha),Non-Self Governing Territory,SHN2_V1
16,SHN,Saint Helena (Gough),Non-Self Governing Territory,SHN3_V1
17,SHN,Saint Helena,Non-Self Governing Territory,SHN_V1
18,TCA,Turks and Caicos Islands,Non-Self Governing Territory,TCA_V2
19,TKL,Tokelau,Non-Self Governing Territory,TKL_V2
20,VGB,British Virgin Islands,Non-Self Governing Territory,VGB_V2
21,VIR,United States Virgin Islands (USA),Non-Self Governing Territory,VIR_V2
22,GRL,Greenland,Self Governing Territory,GRL_V1
23,EGY,Bi'r Tawīl,Sovereignty unsettled,EGY1_V1
24,SDN,Hala'ib Triangle,Sovereignty unsettled,SDN1_V1
25,SSD,Ilemi Triangle,Sovereignty unsettled,SSD1_V1
26,xAB,Abyei,Sovereignty unsettled,xAB_V1
27,xAC,Aksai Chin,Sovereignty unsettled,xAC_V1
28,xAP,Arunachal Pradesh,Sovereignty unsettled,xAP_V1
29,xJK,Jammu and Kashmir,Sovereignty unsettled,xJK_V1
30,xJL,Sovereignty unsettled,Sovereignty unsettled,xJL_V1
31,xPI,Paracel Islands,Sovereignty unsettled,xPI_V1
32,xRI,Kuril Islands,Sovereignty unsettled,xRI_V1
33,xSI,Spratly Islands,Sovereignty unsettled,xSI_V1
34,xSK,Senkaku Islands,Sovereignty unsettled,xSK_V1
35,xSR,Scarborough Reef,Sovereignty unsettled,xSR_V1
36,xxx,China/India,Sovereignty unsettled,xxx_V1
37,HKG,Hong Kong,Special Region or Province,HKG_V1
38,MAC,Macao,Special Region or Province,MAC_V1
39,TWN,Taiwan,Special Region or Province,TWN_V1
40,AFG,Afghanistan,State,AFG_V1
41,AGO,Angola,State,AGO_V1
42,ALB,Albania,State,ALB_V1
43,AND,Andorra,State,AND_V1
44,ARE,United Arab Emirates,State,ARE_V1
45,ARG,Argentina,State,ARG_V1
46,ARM,Armenia,State,ARM_V1
47,ATG,Antigua and Barbuda,State,ATG_V2
48,AUS,Australia,State,AUS_V1
49,AUT,Austria,State,AUT_V1
50,AZE,Azerbaijan,State,AZE_V1
51,BDI,Burundi,State,BDI_V1
52,BEL,Belgium,State,BEL_V1
53,BEN,Benin,State,BEN_V1
54,BFA,Burkina Faso,State,BFA_V1
55,BGD,Bangladesh,State,BGD_V1
56,BGR,Bulgaria,State,BGR_V1
57,BHR,Bahrain,State,BHR_V2
58,BHS,Bahamas,State,BHS_V2
59,BIH,Bosnia and Herzegovina,State,BIH_V1
60,BLR,Belarus,State,BLR_V1
61,BLZ,Belize,State,BLZ_V1
62,BOL,Bolivia (Plurinational State of),State,BOL_V1
63,BRA,Brazil,State,BRA_V1
64,BRB,Barbados,State,BRB_V2
65,BRN,Brunei Darussalam,State,BRN_V1
66,BTN,Bhutan,State,BTN_V1
67,BWA,Botswana,State,BWA_V1
68,CAF,Central African Republic,State,CAF_V1
69,CAN,Canada,State,CAN_V1
70,CHE,Switzerland,State,CHE_V1
71,CHL,Chile,State,CHL_V1
72,CHN,China,State,CHN_V1
73,CIV,Côte d'Ivoire,State,CIV_V1
74,CMR,Cameroon,State,CMR_V1
75,COD,Democratic Republic of the Congo,State,COD_V1
76,COG,Congo,State,COG_V1
77,COL,Colombia,State,COL_V1
78,COM,Comoros,State,COM_V2
79,CPV,Cape Verde,State,CPV_V2
80,CRI,Costa Rica,State,CRI_V1
81,CUB,Cuba,State,CUB_V2
82,CYP,Cyprus,State,CYP_V1
83,CZE,Czechia,State,CZE_V1
84,DEU,Germany,State,DEU_V1
85,DJI,Djibouti,State,DJI_V1
86,DMA,Dominica,State,DMA_V2
87,DNK,Denmark,State,DNK_V1
88,DOM,Dominican Republic,State,DOM_V2
89,DZA,Algeria,State,DZA_V1
90,ECU,Ecuador,State,ECU_V1
91,EGY,Egypt,State,EGY_V1
92,ERI,Eritrea,State,ERI_V1
93,ESP,Spain,State,ESP_V1
94,EST,Estonia,State,EST_V1
95,ETH,Ethiopia,State,ETH_V1
96,FIN,Finland,State,FIN_V1
97,FJI,Fiji,State,FJI_V2
98,FRA,France,State,FRA_V1
99,FSM,Micronesia (Federated States of),State,FSM_V2
100,GAB,Gabon,State,GAB_V1
101,GBR,United Kingdom of Great Britain & Northern Ireland,State,GBR_V1
102,GEO,Georgia,State,GEO_V1
103,GHA,Ghana,State,GHA_V1
104,GIN,Guinea,State,GIN_V1
105,GMB,Gambia,State,GMB_V1
106,GNB,Guinea-Bissau,State,GNB_V1
107,GNQ,Equatorial Guinea,State,GNQ_V1
108,GRC,Greece,State,GRC_V1
109,GRD,Grenada,State,GRD_V2
110,GTM,Guatemala,State,GTM_V1
111,GUY,Guyana,State,GUY_V1
112,HND,Honduras,State,HND_V1
113,HRV,Croatia,State,HRV_V1
114,HTI,Haiti,State,HTI_V2
115,HUN,Hungary,State,HUN_V1
116,IDN,Indonesia,State,IDN_V1
117,IND,India,State,IND_V1
118,IRL,Ireland,State,IRL_V1
119,IRN,Iran (Islamic Republic of),State,IRN_V1
120,IRQ,Iraq,State,IRQ_V1
121,ISL,Iceland,State,ISL_V1
122,ISR,Israel,State,ISR_V1
123,ITA,Italy,State,ITA_V1
124,JAM,Jamaica,State,JAM_V2
125,JOR,Jordan,State,JOR_V1
126,JPN,Japan,State,JPN_V1
127,KAZ,Kazakhstan,State,KAZ_V1
128,KEN,Kenya,State,KEN_V1
129,KGZ,Kyrgyzstan,State,KGZ_V1
130,KHM,Cambodia,State,KHM_V1
131,KIR,Kiribati,State,KIR_V2
132,KNA,Saint Kitts and Nevis,State,KNA_V2
133,KOR,Republic of Korea,State,KOR_V1
134,KWT,Kuwait,State,KWT_V1
135,LAO,Lao People's Democratic Republic,State,LAO_V1
136,LBN,Lebanon,State,LBN_V1
137,LBR,Liberia,State,LBR_V1
138,LBY,Libya,State,LBY_V1
139,LCA,Saint Lucia,State,LCA_V2
140,LIE,Liechtenstein,State,LIE_V1
141,LKA,Sri Lanka,State,LKA_V1
142,LSO,Lesotho,State,LSO_V1
143,LTU,Lithuania,State,LTU_V1
144,LUX,Luxembourg,State,LUX_V1
145,LVA,Latvia,State,LVA_V1
146,MAR,Morocco,State,MAR_V1
147,MCO,Monaco,State,MCO_V1
148,MDA,Moldova,State,MDA_V1
149,MDG,Madagascar,State,MDG_V1
150,MDV,Maldives,State,MDV_V2
151,MEX,Mexico,State,MEX_V1
152,MHL,Marshall Islands,State,MHL_V2
153,MKD,North Macedonia,State,MKD_V1
154,MLI,Mali,State,MLI_V1
155,MLT,Malta,State,MLT_V1
156,MMR,Myanmar,State,MMR_V1
